Object_Name,first_score,last_score,iterations,result
057_racquetball.obj,[243.85805258],[243.85805258],1,FAILURE
057_racquetball.obj,[282.83911735],[282.83911735],1,FAILURE
057_racquetball.obj,[264.18166291],[264.1980397],2,FAILURE
057_racquetball.obj,[223.28330033],[223.51357264],2,FAILURE
057_racquetball.obj,[317.8778802],[317.90436167],2,FAILURE
057_racquetball.obj,[254.81213983],[254.81334383],2,FAILURE
057_racquetball.obj,[267.95908117],[267.95908117],1,FAILURE
057_racquetball.obj,[283.31337947],[283.31337947],1,FAILURE
057_racquetball.obj,[295.87595469],[295.87595469],2,FAILURE
057_racquetball.obj,[241.78396307],[241.78396307],1,FAILURE
057_racquetball.obj,[216.9298091],[216.9298091],1,FAILURE
057_racquetball.obj,[299.56900952],[299.56900952],1,FAILURE
057_racquetball.obj,[292.89082327],[292.9031365],2,FAILURE
057_racquetball.obj,[307.1134734],[307.11528294],2,FAILURE
057_racquetball.obj,[304.40337038],[304.40337038],1,FAILURE
057_racquetball.obj,[219.9298563],[219.9298563],1,FAILURE
057_racquetball.obj,[286.39903869],[286.4102713],2,FAILURE
057_racquetball.obj,[305.49214039],[305.90812993],2,FAILURE
057_racquetball.obj,[224.55520835],[224.65667254],2,FAILURE
057_racquetball.obj,[335.71269943],[335.71269943],1,SUCCESS
057_racquetball.obj,[247.95571458],[248.14423572],2,FAILURE
057_racquetball.obj,[207.86264403],[207.99116057],2,FAILURE
057_racquetball.obj,[246.23167754],[246.23421286],2,FAILURE
057_racquetball.obj,[271.70379186],[271.70600299],2,FAILURE
057_racquetball.obj,[219.31724047],[219.569103],2,FAILURE
057_racquetball.obj,[252.56730307],[252.90958964],2,FAILURE
057_racquetball.obj,[308.50505871],[308.50505871],1,FAILURE
057_racquetball.obj,[298.84769672],[298.84926694],2,FAILURE
057_racquetball.obj,[287.48242724],[287.50225168],2,FAILURE
057_racquetball.obj,[253.69244693],[253.69244693],1,FAILURE
057_racquetball.obj,[289.77436255],[289.77456613],2,FAILURE
057_racquetball.obj,[224.03578714],[224.24840486],2,FAILURE
057_racquetball.obj,[276.34851708],[276.87629929],2,FAILURE
057_racquetball.obj,[248.00355932],[248.00355932],1,FAILURE
057_racquetball.obj,[244.9510028],[245.09700647],2,FAILURE
057_racquetball.obj,[261.56569125],[261.81898491],2,FAILURE
057_racquetball.obj,[221.91476039],[221.91476039],1,FAILURE
057_racquetball.obj,[190.27030368],[190.27030368],1,FAILURE
057_racquetball.obj,[239.65274024],[239.65274024],1,FAILURE
057_racquetball.obj,[252.28818111],[252.28818111],1,FAILURE
057_racquetball.obj,[280.33926446],[280.33926446],1,FAILURE
057_racquetball.obj,[271.50476018],[271.73511547],2,FAILURE
057_racquetball.obj,[250.584699],[250.584699],1,FAILURE
057_racquetball.obj,[238.69797625],[238.70702645],2,FAILURE
057_racquetball.obj,[254.42297303],[254.42297303],1,FAILURE
057_racquetball.obj,[243.37506105],[243.37506105],1,FAILURE
057_racquetball.obj,[246.27044682],[246.27044682],1,FAILURE
057_racquetball.obj,[289.64154979],[289.6433494],2,FAILURE
057_racquetball.obj,[232.58035294],[232.5918634],2,FAILURE
057_racquetball.obj,[297.50071812],[297.52766357],2,FAILURE
057_racquetball.obj,[319.11213254],[319.1197872],2,FAILURE
057_racquetball.obj,[260.05037539],[260.08914637],2,FAILURE
057_racquetball.obj,[287.9794171],[287.98070966],2,FAILURE
057_racquetball.obj,[253.35098645],[253.36030272],2,FAILURE
057_racquetball.obj,[302.05924873],[302.09741051],2,FAILURE
